Title,Author,Description,Category,Domain,Start URL,Recipe Prefix,Avoid URLs,
Treats – Kahlua,KAHLUA,"KahlUa is a brand of coffee liqueur owned by the Pernod Ricard company and produced in Veracruz, Mexico. The drink contains rum, sugar, and arabica coffee.",food brands,www.kahlua.com,https://www.kahlua.com/en-us/treats/,kahlua.com/en-us/treats/,,
Smuckers.com - Recipes,THE J.M. SMUCKER COMPANY,"Smucker's, is an American manufacturer of food and beverage products. Headquartered in Orrville, Ohio. The company was founded in 1897 as a maker of apple butter.",food brands,www.smuckers.com,https://www.smuckers.com/recipes,smuckers.com/recipes,,
Recipes - Teddie Natural Peanut Butter,The Leavitt Corporation,"The Leavitt Corporation is a manufacturer of nuts and peanut butter, formed by Michael Hintlian in 1925. Its manufacturing facility is in Everett, Massachusetts. Leavitt has about 100 employees. The company produces Teddie Peanut Butter.",food brands,teddie.com,https://teddie.com/recipes/,teddie.com/recipes/,,
Barilla.com,Barilla Group,"Barilla Group is an Italian multinational food company founded in 1877. It is the world's largest pasta producer. The company operates 30 production sites, half of which are located in Italy and half internationally.",food brands,www.barilla.com,https://www.barilla.com/en-us/recipe,barilla.com/en-us/recipe,,
Café Bustelo Coffee Recipes,J.M. Smucker Company,Café Bustelo is an American coffee brand,food brands,www.cafebustelo.com,https://www.cafebustelo.com/coffee/recipes,https://www.cafebustelo.com/coffee/recipes,,
Coffee Recipes | Roast and Post,The Roast & Post Coffee Co.,"Family run coffee roaster and delivery business with a passion for delicious, great tasting coffee.",food brands,www.roastandpost.com,https://www.roastandpost.com/coffee-encyclopedia/coffee-recipes/,roastandpost.com/coffee-encyclopedia/coffee-recipes/,,
Tarazi Recipes – Tarazi Foods,"TARAZI SPECIALTY FOODS, LLC","Tarazi is an American company producing Tahini, Falafel and other Mediterranean foods",food brands,www.tarazifoods.com,https://www.tarazifoods.com/tarazi-recipes/,tarazifoods.com/falafel/,,
Tarazi Recipes – Tarazi Foods,"TARAZI SPECIALTY FOODS, LLC","Tarazi is an American company producing Tahini, Falafel and other Mediterranean foods",food brands,www.tarazifoods.com,https://www.tarazifoods.com/tarazi-recipes/,tarazifoods.com/tahini/,,
Recipes – Dave’s Killer Bread,Dave’s Killer Bread,Dave's Killer Bread is a US brand of organic whole-grain products. The company also aims to increase employment opportunities for people who have criminal backgrounds.,food brands,www.daveskillerbread.com,https://www.daveskillerbread.com/recipes,daveskillerbread.com/recipes/,,
Recipes - PLANTERS® Brand,"Hormel Foods, LLC.",Planters Nut & Chocolate Company is an American snack food company owned by Hormel Foods. Planters is best known for its processed nuts and for the Mr. Peanut icon that symbolizes them.,food brands,www.planters.com,https://www.planters.com/recipes/,planters.com/recipe/,,
Our Best Recipes | Pillsbury,"General Mills, Inc.",Pillsbury is an American brand of baking and dough products,food brands,www.pillsbury.com,https://www.pillsbury.com/recipes/,pillsbury.com/recipes/,,
Baking Recipes | Homemade Domino Sugar Recipes,DOMINO FOODS INC.,"Domino Foods, Inc. is an American privately held sugar marketing and sales company based in Yonkers, New York, that sells products produced by its manufacturing members",food brands,www.dominosugar.com,https://www.dominosugar.com/recipes,dominosugar.com/recipe/,,
Recipes | Dorothy Lane Market,Dorothy Lane Market,"Dorothy Lane Market is a fourth-generation, family-owned gourmet grocer proudly serving the Dayton and Cincinnati region of Southwest Ohio since 1948. The reader can filter by course, main ingredient, or special dietary needs. ",grocery stores,www.dorothylane.com,https://www.dorothylane.com/recipes,dorothylane.com/recipes/,,
Wegmans,Wegmans Food Markets,"Wegmans Food Markets, Inc. is a privately held American supermarket chain. As of early 2026, Wegmans had 114 stores in nine states. Wegmans has appeared on Fortune's annual ""100 Best Companies to Work For"" list since the list first appeared in 1998.",grocery stores,www.wegmans.com,https://www.wegmans.com/recipes,wegmans.com/recipes/,,
Recipes | Whole Foods Market,"Whole Foods Market IP, Inc.","Whole Foods Market is an American multinational supermarket chain headquartered in Austin, Texas, which generally sells whole food products free from hydrogenated fats and artificial colors, flavors, and preservatives. A USDA Certified Organic grocer in the United States, the chain is popularly known for its organic selections.",grocery stores,www.wholefoodsmarket.com,https://www.wholefoodsmarket.com/recipes,wholefoodsmarket.com/recipes/,,
Recipes |  Trader Joe’s,Trader Joe’s,"Trader Joe's Company is an American grocery store chain headquartered in Monrovia, California, U.S. The first Trader Joe's store was opened in 1967 by founder Joe Coulombe in Pasadena, California.",grocery stores,www.traderjoes.com,https://www.traderjoes.com/home/recipes,traderjoes.com/home/recipes/,,
All Recipes Archives – mds.CulinaryMedicine.org,The American College of Culinary Medicine,"CulinaryMedicine.org is the home of the Health meets Food curriculum, which was developed to change the dialogue between healthcare professionals and their patients about food and health. ",health and medicine,culinarymedicine.org,https://mds.culinarymedicine.org/category/all-recipes/,culinarymedicine.org/recipes/,,
Recipes | National Honey Board,National Honey Board,"The National Honey Board is an industry-funded agriculture promotion group that educates consumers about the benefits and uses of honey and honey products. Our research, marketing, and promotional programs are funded by an assessment on domestic and imported honey and are designed to increase awareness and usage of honey by consumers, the foodservice industry, and food manufacturers.",trade association,honey.com,https://honey.com/recipes,honey.com/recipe/,,
Home Baking Association,Home Baking Association,The Home Baking Association is a nonprofit organization dedicated to providing resources and educational tools to promote baking skills and traditions.,trade association,www.homebaking.org,https://www.homebaking.org/recipes/,homebaking.org/recipe-items/,,
